;Country;Christianisme;Islam;Sans-religion;Hindouisme;Bouddhisme;Religions traditionnelles;Autres;Judaisme
70;Jordan;0.022000000000000002;0.972;0.0;0.001;0.004;0.0;0.0;0.0
71;Kazakhstan;0.247;0.7040000000000001;0.042;0.0;0.002;0.003;0.001;0.0
72;Kenya;0.848;0.09699999999999999;0.025;0.001;0.0;0.017;0.012;0.0
73;Kuwait;0.14300000000000002;0.741;0.0;0.085;0.027999999999999997;0.0;0.003;0.0
74;Kyrgyzstan;0.114;0.88;0.004;0.0;0.0;0.001;0.0;0.0
75;Laos;0.015;0.0;0.009000000000000001;0.0;0.66;0.307;0.006999999999999999;0.0
76;Latvia;0.5579999999999999;0.001;0.43799999999999994;0.0;0.0;0.0;0.002;0.0
77;Lebanon;0.38299999999999995;0.613;0.003;0.0;0.002;0.0;0.0;0.0
78;Lesotho;0.968;0.0;0.031;0.0;0.0;0.001;0.0;0.0
79;Liberia;0.8590000000000001;0.12;0.013999999999999999;0.0;0.0;0.005;0.001;0.0
80;Libya;0.027000000000000003;0.966;0.002;0.0;0.003;0.0;0.0;0.0
81;Lithuania;0.898;0.0;0.1;0.0;0.0;0.0;0.0;0.0
82;Luxembourg;0.7040000000000001;0.023;0.268;0.0;0.0;0.0;0.003;0.001
83;Madagascar;0.853;0.03;0.069;0.0;0.0;0.045;0.0;0.0
84;Malawi;0.8270000000000001;0.13;0.025;0.0;0.0;0.017;0.0;0.0
85;Malaysia;0.094;0.637;0.006999999999999999;0.06;0.177;0.023;0.002;0.0
86;Mali;0.024;0.9440000000000001;0.005;0.0;0.0;0.027000000000000003;0.0;0.0
87;Malta;0.97;0.002;0.025;0.002;0.0;0.0;0.0;0.0
88;Mauritania;0.003;0.991;0.001;0.0;0.0;0.005;0.0;0.0
89;Mauritius;0.327;0.17300000000000001;0.006999999999999999;0.485;0.004;0.001;0.002;0.0
90;Mexico;0.951;0.0;0.047;0.0;0.0;0.0;0.0;0.0
91;Moldova;0.9740000000000001;0.006;0.013999999999999999;0.0;0.0;0.0;0.0;0.006
92;Mongolia;0.023;0.032;0.359;0.0;0.551;0.035;0.0;0.0
93;Montenegro;0.7809999999999999;0.187;0.032;0.0;0.0;0.0;0.0;0.0
94;Morocco;0.0;0.9990000000000001;0.0;0.0;0.0;0.0;0.0;0.0
95;Mozambique;0.5670000000000001;0.18;0.179;0.0;0.0;0.07400000000000001;0.0;0.0
96;Myanmar;0.078;0.04;0.005;0.017;0.8009999999999999;0.057999999999999996;0.002;0.0
97;Namibia;0.975;0.003;0.019;0.0;0.0;0.002;0.0;0.0
98;Nepal;0.005;0.046;0.003;0.807;0.10300000000000001;0.037000000000000005;0.0;0.0
99;Netherlands;0.506;0.06;0.42100000000000004;0.005;0.002;0.002;0.002;0.002
100;New Zealand;0.57;0.012;0.366;0.021;0.016;0.005;0.006999999999999999;0.002
101;Nicaragua;0.858;0.0;0.125;0.0;0.0;0.013999999999999999;0.001;0.0
